"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"5501",9350,10007285,"DE",1,53,520,16,30,5,120,6,6,9,6,5,7,10,5,1963
"5502",9351,10007301,"DE",2,34,720,18,30,5,40,9,8,8,7,6,7,7,5,1983
"5503",9354,10007330,"DE",2,27,720,20,15,5,480,6,7,7,4,3,5,5,4,1989
"5504",9355,10007332,"DE",1,75,322,17,90,5,60,4,5,7,2,1,2,2,2,1941
"5505",9359,10007342,"DE",2,38,322,12,60,5,60,4,8,8,2,2,5,5,5,1978
"5506",9364,10007386,"DE",1,27,322,13,120,5,245,3,8,9,0,4,5,5,5,1989
"5507",9370,10007406,"DE",1,63,720,22,45,5,60,7,7,6,7,5,4,8,5,1953
"5508",9373,10007444,"DE",2,39,720,21,25,5,90,9,9,9,6,7,9,8,3,1977
"5509",9374,10007450,"DE",2,57,322,12,90,5,90,8,7,8,8,6,7,8,2,1959
"5510",9376,10007455,"DE",1,47,720,20,60,5,330,7,7,5,4,6,2,6,2,1969
"5511",9377,10007456,"DE",2,67,423,16,90,4,60,6,7,7,5,5,5,6,3,1949
"5512",9379,10007466,"DE",1,45,720,16,30,5,60,4,4,3,4,2,4,4,5,1971
"5513",9383,10007472,"DE",1,29,422,13,60,5,240,5,3,6,4,3,5,5,3,1987
"5514",9385,10007481,"DE",2,29,422,13,20,5,60,2,5,6,3,3,4,4,5,1987
"5515",9386,10007484,"DE",1,62,321,11,90,5,240,5,7,8,3,3,0,0,2,1954
"5516",9387,10007485,"DE",2,30,422,13,45,5,120,5,4,6,5,7,6,4,1,1986
"5517",9388,10007504,"DE",2,31,720,20,120,5,240,7,8,7,6,6,6,4,4,1985
"5518",9392,10007513,"DE",1,20,212,11,0,5,300,0,0,3,0,6,0,3,0,1996
"5519",9393,10007515,"DE",1,46,322,12,600,5,60,2,3,3,2,3,1,5,3,1970
"5520",9394,10007522,"DE",2,54,422,15,120,5,720,2,3,8,3,2,7,8,5,1962
"5521",9395,10007524,"DE",2,49,423,15,30,5,45,4,5,5,7,0,6,4,4,1967
"5522",9397,10007526,"DE",1,63,720,20,120,5,240,5,5,5,3,3,3,5,2,1953
"5523",9398,10007528,"DE",2,53,720,16,30,5,60,7,9,10,7,6,6,7,4,1963
"5524",9400,10007533,"DE",1,26,423,16,10,5,240,8,9,10,4,4,7,8,3,1990
"5525",9401,10007535,"DE",2,32,423,16,60,5,120,3,8,2,1,4,5,3,5,1984
"5526",9403,10007541,"DE",2,38,322,13,15,5,120,0,5,6,1,1,1,1,4,1978
"5527",9405,10007543,"DE",2,32,720,18,20,5,15,7,5,4,5,4,5,5,4,1984
"5528",9406,10007546,"DE",1,58,610,18,120,5,90,5,7,9,3,5,3,5,2,1958
"5529",9409,10007564,"DE",1,38,113,6,120,5,90,2,1,1,2,1,0,1,3,1979
"5530",9412,10007574,"DE",1,58,610,17,30,5,90,3,3,4,2,2,1,2,4,1958
"5531",9417,10007588,"DE",2,46,423,14,60,5,60,7,6,8,7,6,7,8,2,1970
"5532",9418,10007590,"DE",1,43,610,18,120,5,60,6,4,5,4,4,5,5,7,1974
"5533",9421,10007598,"DE",1,65,322,13,120,5,120,4,6,6,5,5,4,3,4,1951
"5534",9422,10007607,"DE",1,68,520,15,120,4,60,5,6,7,5,4,4,3,6,1948
"5535",9423,10007641,"DE",2,51,520,13,15,5,30,5,3,5,3,3,3,4,5,1965
"5536",9424,10007643,"DE",1,40,610,23,50,5,720,7,6,9,6,6,7,7,5,1976
"5537",9426,10007654,"DE",2,42,720,17,15,5,60,4,3,5,3,3,2,6,7,1974
"5538",9429,10007658,"DE",2,49,322,13,50,5,120,7,7,8,4,4,6,6,4,1967
"5539",9430,10007659,"DE",2,61,423,13,70,5,300,6,4,6,6,6,4,5,4,1955
"5540",9431,10007660,"DE",2,61,610,15,30,5,180,5,4,5,4,4,6,5,3,1956
"5541",9433,10007662,"DE",2,64,720,16,270,4,135,3,1,5,1,1,1,1,2,1952
"5542",9434,10007664,"DE",1,26,423,17,120,5,1020,9,8,8,7,6,8,5,5,1990
"5543",9435,10007666,"DE",2,38,520,15,5,5,150,0,5,6,3,0,0,0,2,1978
"5544",9436,10007667,"DE",1,66,720,17,150,5,150,5,2,9,0,5,5,5,1,1950
